Time,time,t_in_C,t_out_C,light_lux
5/9/16 8:20,0,21.687,17.875,22.2
5/9/16 8:25,300,21.125,14.75,635.5
5/9/16 8:30,600,20.687,13.25,525.5
5/9/16 8:35,900,20.25,12.562,572.7
5/9/16 8:40,1200,19.875,12.125,733.2
5/9/16 8:45,1500,19.562,12.125,773.3
5/9/16 8:50,1800,19.312,12.187,809.5
5/9/16 8:55,2100,19.062,12.25,809.5
5/9/16 9:00,2400,18.937,12.437,788.5
5/9/16 9:05,2700,18.812,12.5,776.4
5/9/16 9:10,3000,18.75,12.687,840.8
5/9/16 9:15,3300,18.75,12.875,893
5/9/16 9:20,3600,18.812,13.125,953.4
5/9/16 9:25,3900,18.875,13.187,969.5
5/9/16 9:30,4200,18.875,13.375,977.5
5/9/16 9:35,4500,18.937,13.5,1141.5
5/9/16 9:40,4800,18.937,13.562,981.5
5/9/16 9:45,5100,18.937,13.562,953.4
5/9/16 9:50,5400,18.937,13.562,997.6
5/9/16 9:55,5700,19,13.625,1235
5/9/16 10:00,6000,19.062,13.875,1759.5
5/9/16 10:05,6300,19.25,14.25,1778.3
5/9/16 10:10,6600,19.375,14.875,1890.7
5/9/16 10:15,6900,19.625,15.187,1946.9
5/9/16 10:20,7200,19.75,15.25,1853.2
5/9/16 10:25,7500,19.812,15.5,1759.5
5/9/16 10:30,7800,19.875,15.75,1703.3
5/9/16 10:35,8100,19.937,15.937,1590.9
5/9/16 10:40,8400,20,15.75,1709.2
5/9/16 10:45,8700,20.062,15.937,1838.1
5/9/16 10:50,9000,20.125,16.312,1930.2
5/9/16 10:55,9300,20.312,16.5,1893.4
5/9/16 11:00,9600,20.375,16.5,1948.6
5/9/16 11:05,9900,20.562,16.687,2349.6
5/9/16 11:10,10200,20.812,17.125,2605.1
5/9/16 11:15,10500,21.062,17.625,2732.2
5/9/16 11:20,10800,21.25,17.812,2476.9
5/9/16 11:25,11100,21.437,18.437,2519.4
5/9/16 11:30,11400,21.625,18.375,2562
5/9/16 11:35,11700,21.812,18.312,2817.3
5/9/16 11:40,12000,22.062,18.812,2943.7
5/9/16 11:45,12300,22.312,19.125,2816
5/9/16 11:50,12600,22.5,19.312,2730.9
5/9/16 11:55,12900,22.625,19.187,2645.8
5/9/16 12:00,13200,22.687,19,2645.8
5/9/16 12:05,13500,22.687,18.937,2603.3
5/9/16 12:10,13800,22.812,19.312,2730.9
5/9/16 12:15,14100,22.937,19.687,2901.2
5/9/16 12:20,14400,23.125,20,2942.6
5/9/16 12:25,14700,23.375,20.375,3027.8
5/9/16 12:30,15000,23.5,20.5,2857.4
5/9/16 12:35,15300,23.687,20.687,2942.6
5/9/16 12:40,15600,23.812,20.937,2900
5/9/16 12:45,15900,24.062,21.437,3155.3
5/9/16 12:50,16200,24.312,21.375,3112.6
5/9/16 12:55,16500,24.375,20.937,2899.4
5/9/16 13:00,16800,24.312,20.5,2814.1
5/9/16 13:05,17100,24.187,20.375,2814.1
5/9/16 13:10,17400,24.062,20.437,2728.8
5/9/16 13:15,17700,24,20.5,2600.9
5/9/16 13:20,18000,23.937,20.312,2687
5/9/16 13:25,18300,23.937,20.187,2772.2
5/9/16 13:30,18600,24,20.437,2942.1
5/9/16 13:35,18900,24.125,20.812,2984.7
5/9/16 13:40,19200,24.25,20.875,3027.4
5/9/16 13:45,19500,24.437,20.812,3070
5/9/16 13:50,19800,24.5,20.625,2942.1
5/9/16 13:55,20100,24.562,20.687,3112.6
5/9/16 14:00,20400,24.687,21.125,3197.9
5/9/16 14:05,20700,24.812,21.375,3070
5/9/16 14:10,21000,24.937,21.375,2984.7
5/9/16 14:15,21300,24.937,21.125,2686.2
5/9/16 14:20,21600,24.812,20.75,2686.2
5/9/16 14:25,21900,24.75,20.687,2814.1
5/9/16 14:30,22200,24.687,21,2771.5
5/9/16 14:35,22500,24.75,21.187,2899.4
5/9/16 14:40,22800,24.875,21.187,3027.4
5/9/16 14:45,23100,25,21.375,3027.7
5/9/16 14:50,23400,25.125,21.437,3027.7
5/9/16 14:55,23700,25.187,21.437,3027.7
5/9/16 15:00,24000,25.25,21.437,2985
5/9/16 15:05,24300,25.312,21.437,2985
5/9/16 15:10,24600,25.312,21.125,3027.7
5/9/16 15:15,24900,25.5,21.625,3113.1
5/9/16 15:20,25200,25.687,21.937,3369.2
5/9/16 15:25,25500,26,22.687,3456.1
5/9/16 15:30,25800,26.375,22.375,3413.4
5/9/16 15:35,26100,26.875,23.5,3541.5
5/9/16 15:40,26400,27.125,23.812,3287.7
5/9/16 15:45,26700,27.375,24.5,3671.8
5/9/16 15:50,27000,27.187,23.125,3202.4
5/9/16 15:55,27300,27.312,24.75,3543.8
5/9/16 16:00,27600,27.312,24.875,3330.4
5/9/16 16:05,27900,27.187,24.125,2775.6
5/9/16 16:10,28200,27.125,24.25,3543.8
5/9/16 16:15,28500,27.25,23.875,2690.2
5/9/16 16:20,28800,27.125,23.25,2775.6
5/9/16 16:25,29100,27.125,23,3202.4
5/9/16 16:30,29400,27,22.187,2818.3
5/9/16 16:35,29700,26.937,22.562,3242.6
5/9/16 16:40,30000,26.875,22.437,2986.4
5/9/16 16:45,30300,26.5,21.25,2175.1
5/9/16 16:50,30600,26.562,21.937,2815.6
5/9/16 16:55,30900,26.562,22.062,2858.3
5/9/16 17:00,31200,26.375,21.25,2559.4
5/9/16 17:05,31500,26.312,21.875,2772.9
5/9/16 17:10,31800,26.312,21.687,1875.9
5/9/16 17:15,32100,26.25,21.312,2559.4
5/9/16 17:20,32400,26.187,21.25,2474
5/9/16 17:25,32700,26.125,20.687,2345.9
5/9/16 17:30,33000,26,20.687,2260.5
5/9/16 17:35,33300,25.812,20.75,2131.3
5/9/16 17:40,33600,25.687,20.625,1965.5
5/9/16 17:45,33900,25.562,20.5,1821.9
5/9/16 17:50,34200,25.375,20.062,1750.2
5/9/16 17:55,34500,25.187,20,1624.6
5/9/16 18:00,34800,25,20.062,1588.7
5/9/16 18:05,35100,24.75,20.187,1428.3
5/9/16 18:10,35400,24.625,19.937,1285
5/9/16 18:15,35700,24.437,19.75,1195.5
5/9/16 18:20,36000,24.312,19.312,1070.1
5/9/16 18:25,36300,24.187,20.125,983.4
5/9/16 18:30,36600,24,19.187,955
5/9/16 18:35,36900,23.812,18.562,926.9
5/9/16 18:40,37200,23.687,18.312,886.4
5/9/16 18:45,37500,23.5,18.5,793.5
5/9/16 18:50,37800,23.25,21.125,656.2
5/9/16 18:55,38100,22.937,19.125,564
5/9/16 19:00,38400,22.625,19.375,519.7
5/9/16 19:05,38700,22.25,18.937,485.2
5/9/16 19:10,39000,21.937,15.812,448.9
5/9/16 19:15,39300,21.625,14.5,417.9
5/9/16 19:20,39600,21.375,13.687,362.4
5/9/16 19:25,39900,21.125,13.062,344.5
5/9/16 19:30,40200,20.937,12.687,324.9
5/9/16 19:35,40500,20.75,12.375,302.2
5/9/16 19:40,40800,20.562,12.125,252.1
5/9/16 19:45,41100,20.437,12,210.5
5/9/16 19:50,41400,20.25,11.75,182.4
5/9/16 19:55,41700,20.125,11.562,140.7
5/9/16 20:00,42000,19.937,11.375,105.1
5/9/16 20:05,42300,19.812,11.187,74.7
5/9/16 20:10,42600,19.625,11,49.9
5/9/16 20:15,42900,19.5,10.875,26.8
5/9/16 20:20,43200,19.375,10.812,19.9
5/9/16 20:25,43500,19.25,10.625,14.9
5/9/16 20:30,43800,19.187,10.562,11.7
5/9/16 20:35,44100,19.062,10.375,10.9
5/9/16 20:40,44400,19,10.312,10.5
5/9/16 20:45,44700,18.875,10.375,10.9
5/9/16 20:50,45000,18.812,10.312,10.8
5/9/16 20:55,45300,18.687,10.187,10.7
5/9/16 21:00,45600,18.625,10.125,10.6
5/9/16 21:05,45900,18.5,10,10.5
5/9/16 21:10,46200,18.437,10,10.4
5/9/16 21:15,46500,18.375,10,10.3
5/9/16 21:20,46800,18.25,10,10.2
5/9/16 21:25,47100,18.187,9.937,10.1
5/9/16 21:30,47400,18.125,9.937,10
5/9/16 21:35,47700,18.062,10,9.9
5/9/16 21:40,48000,18,10.062,9.8
5/9/16 21:45,48300,17.937,10.25,10.3
5/9/16 21:50,48600,17.875,10.437,10.3
5/9/16 21:55,48900,17.812,10.562,10.3
5/9/16 22:00,49200,17.812,10.625,10.2
5/9/16 22:05,49500,17.75,10.562,10.2
5/9/16 22:10,49800,17.687,10.5,10.1
5/9/16 22:15,50100,17.625,10.5,10.1
5/9/16 22:20,50400,17.625,10.5,10
5/9/16 22:25,50700,17.562,10.437,9.9
5/9/16 22:30,51000,17.5,10.375,9.9
5/9/16 22:35,51300,17.437,10.437,9.9
5/9/16 22:40,51600,17.437,10.437,9.9
5/9/16 22:45,51900,17.375,10.5,9.8
5/9/16 22:50,52200,17.312,10.5,9.7
5/9/16 22:55,52500,17.25,10.562,9.7
5/9/16 23:00,52800,17.25,10.625,9.6
5/9/16 23:05,53100,17.187,10.625,9.6
5/9/16 23:10,53400,17.125,10.625,9.5
5/9/16 23:15,53700,17.062,10.562,9.4
5/9/16 23:20,54000,17,10.5,9.4
5/9/16 23:25,54300,16.937,10.5,9.9
5/9/16 23:30,54600,16.937,10.562,9.8
5/9/16 23:35,54900,16.875,10.625,9.8
5/9/16 23:40,55200,16.812,10.687,9.7
5/9/16 23:45,55500,16.75,10.75,9.7
5/9/16 23:50,55800,16.687,10.75,9.6
5/9/16 23:55,56100,16.625,10.75,9.6
5/10/16 0:00,56400,16.625,10.75,9.5
5/10/16 0:05,56700,16.562,10.687,9.4
5/10/16 0:10,57000,16.5,10.687,9.4
